id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
SNS-P03-F01,SNS and Personality,"According to the passage, how is Twitter different from Facebook?",Twitter allows greater anonymity for users,Twitter requires users to share detailed personal information,Twitter focuses more on identity than communication,Twitter prevents users from making friends online,1,The passage says Twitter reinstates some anonymity and focuses less on who users are.,Factual,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-I01,SNS and Personality,What can be reasonably inferred about anonymity on Twitter?,It may reduce social pressure on users,It completely eliminates online communication problems,It makes Twitter less popular than Facebook,It forces users to reveal more personal details,1,The passage states that anonymity may reduce social pressure.,Inference,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S01,SNS and Personality,"Unlike Facebook, Twitter allows users to maintain greater ___ when communicating online.",anonymity,popularity,friendship,security,1,The main contrast is Twitter’s greater anonymity.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S02,SNS and Personality,Twitter shifts attention from identity to personal ___.,opinions,appearance,background,wealth,1,The paragraph says the site focuses more on what users have to say.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S03,SNS and Personality,This reduced social pressure may lead people to use Twitter for different ___ than Facebook.,reasons,companies,features,audiences,1,The passage explicitly says reasons for using Twitter may differ from Facebook.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P04-V01,SNS and Personality,"As used in the passage, the word “predominantly” most nearly means:",mainly,rarely,equally,unexpectedly,1,“Predominantly student samples” means samples made up mainly of students.,Vocabulary,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-F01,SNS and Personality,"According to the passage, what limitation is mentioned about existing research?",Many studies rely on small student-based samples,There are too many studies on Twitter use,Most studies use large international samples,Researchers have stopped studying personality,1,"The passage warns that much research uses small, predominantly student samples.",Factual,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-I01,SNS and Personality,What can be reasonably inferred about current research on Twitter and personality?,It remains limited and requires further study,It is well established and widely confirmed,It proves Twitter changes personality,It focuses mainly on older adults,1,The paragraph states that there are currently no studies linking Twitter use to personality.,Inference,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-S01,SNS and Personality,Studies on Twitter and personality remain ___.,limited,extensive,complete,outdated,1,The passage says there are no current studies linking Twitter use to personality.,Summary Cloze,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-S02,SNS and Personality,Much internet-related personality research relies on relatively ___ samples.,small,large,diverse,international,1,The paragraph mentions small samples.,Summary Cloze,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-S03,SNS and Personality,Readers should interpret findings with ___.,caution,confidence,excitement,indifference,1,The passage directly advises caution in interpreting results.,Summary Cloze,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P05-V01,SNS and Personality,"As used in the passage, the word “underpinnings” most nearly means:",foundations,criticisms,applications,limitations,1,“Underpinnings” refers to the theoretical and methodological foundations of the model.,Vocabulary,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P05-F01,SNS and Personality,"According to the passage, what does the Big Five model include?",Five personality traits,Five internet behaviors,Five communication platforms,Five research methods,1,The passage lists five broad personality traits.,Factual,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P05-I01,SNS and Personality,What can be reasonably inferred about the Big Five model?,It remains useful despite some disagreements about it,It is universally accepted without criticism,It is flawed and rarely used by researchers,It focuses only on internet behavior,1,"Although disputed, it is still regarded as acknowledging essential personality aspects.",Inference,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P05-S01,SNS and Personality,The Big Five framework identifies five broad personality ___.,traits,disorders,theories,experiments,1,The model consists of five broad personality traits.,Summary Cloze,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P05-S02,SNS and Personality,Some scholars question its theoretical and methodological ___.,foundations,popularity,results,applications,1,This restates “theoretical and methodological underpinnings.”,Summary Cloze,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P05-S03,SNS and Personality,The model remains a widely used ___ in personality research.,framework,limitation,criticism,controversy,1,The passage says researchers tend to use the Big Five model.,Summary Cloze,"[5] In investigating the role of personality in the use of the Internet, researchers have tended to use the Five-Factor-Model or Big Five. The Big Five consists of five broad personality traits, namely, Neuroticism, Extraversion, Openness, Agreeableness and Conscientiousness. Although the theoretical and methodological underpinnings of the model are not completely without dispute, it is regarded as acknowledging at least some of the essential aspects of personality."
SNS-P06-V01,SNS and Personality,"As used in the passage, the word “empirical” most nearly means:",based on observation or evidence,theoretical,emotional,widely accepted,1,Empirical inquiry depends on evidence rather than only opinion or theory.,Vocabulary,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P06-F01,SNS and Personality,"According to the passage, why do people high in Neuroticism often use the Internet?",To avoid loneliness,To improve academic performance,To gain financial advantages,To reduce working hours,1,"The paragraph states they use the Internet frequently, mostly to avoid loneliness.",Factual,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P06-I01,SNS and Personality,What can be reasonably inferred about earlier assumptions regarding Neuroticism and Internet use?,They incorrectly predicted that highly neurotic individuals would avoid the Internet,They were fully confirmed by later studies,They focused mainly on informational Internet use,They showed no connection between personality and online behavior,1,Empirical inquiry failed to support the early hypothesis.,Inference,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P06-S01,SNS and Personality,Later ___ research did not support the claim that highly neurotic individuals avoid the Internet.,empirical,theoretical,historical,informal,1,The passage contrasts early opinions with empirical inquiry.,Summary Cloze,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P06-S02,SNS and Personality,Individuals high in Neuroticism often use the Internet to reduce feelings of ___.,loneliness,excitement,pressure,boredom,1,The paragraph explicitly states “mostly to avoid loneliness.”,Summary Cloze,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P06-S03,SNS and Personality,One study found Neuroticism was negatively related to using the Internet for ___ purposes.,informational,social,educational,financial,1,"The passage identifies informational purposes, including Twitter.",Summary Cloze,"[6] Neuroticism is defined as a measure of affect and emotional control, with low levels suggesting good control over emotions and stability, whereas individuals with high levels may be somewhat sensitive and nervous with a tendency to worry. Early opinions suggested that those high in Neuroticism were likely to avoid the Internet. However, empirical inquiry has failed to support this hypothesis. It is now considered that those high in Neuroticism use the Internet frequently, mostly to avoid loneliness. Indeed, positive correlations have been found with the amount of time spent on Facebook and frequency of instant messenger use. On the other hand, Amichai-Hamburger and Ben-Artzi (2003) found a negative relationship between Neuroticism and use of the Internet for informational purposes (i.e., Twitter)."
SNS-P07-V01,SNS and Personality,"As used in the passage, the word “substitute” most nearly means:",replacement,improvement,requirement,interruption,1,A substitute is something used in place of something else.,Vocabulary,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P07-F01,SNS and Personality,"According to the passage, what has Extraversion been shown to correlate with?",Use of instant messaging and social networking services,Avoidance of online communication,Preference for anonymous online activity,Reduced number of offline friendships,1,The passage states Extraversion correlates with instant messaging and SNS use.,Factual,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P07-I01,SNS and Personality,What can be reasonably inferred about extraverts’ use of online social platforms?,They often use online tools to maintain relationships formed offline,They mainly use the Internet to replace face-to-face communication,They tend to avoid forming friendships outside the Internet,They prefer online friendships because offline interaction is difficult for them,1,The passage says extraverts make friends offline and then keep in touch online.,Inference,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P07-S01,SNS and Personality,Extraversion is related to the use of ___ and social networking services.,instant messaging,online shopping,academic research,private blogging,1,The passage directly mentions instant messaging and SNS.,Summary Cloze,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P07-S02,SNS and Personality,Highly extraverted Facebook users tend to have more groups and more ___.,friends,restrictions,assignments,advertisements,1,The paragraph states they have significantly more friends.,Summary Cloze,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P07-S03,SNS and Personality,Extraverts use online communication mainly to ___ existing social connections.,maintain,avoid,weaken,limit,1,They use the Internet to keep in touch with offline friends.,Summary Cloze,"[7] Extraverts are typically adventurous, sociable and talkative, whereas introverts are typically quiet and shy. Extraversion has been shown to correlate with the use of instant messaging and SNS. Within Facebook, those high in Extraversion have been shown to be members of significantly more “groups” and have significantly more “friends”. Many of these “friendships”, it seems, were not initiated online, however. Extraverts tended to make friends offline, then use the Internet to keep in touch, suggesting that extraverts do not see online socialization as a substitute for offline communication."
SNS-P08-V01,SNS and Personality,"As used in the passage, the word “correlated” most nearly means:",related statistically,caused directly,separated completely,explained fully,1,"A correlation is a statistical relationship, not necessarily causation.",Vocabulary,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P08-F01,SNS and Personality,"According to the passage, what did Ryan and Xenos (2011) find about Facebook users?",They showed higher self-reported levels of Extraversion than non-users,They reported lower levels of Extraversion than non-users,They used Facebook mainly for informational purposes,They avoided social interaction on Facebook,1,The passage states Facebook users had significantly higher self-reported Extraversion.,Factual,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P08-I01,SNS and Personality,What can be reasonably inferred from the studies mentioned in the passage?,Extraversion appears to be related to both social and informational Internet use,Extraversion has no connection to Facebook or Internet use,Only introverted users benefit from social networking services,Facebook use reduces users’ level of Extraversion over time,1,The paragraph reports links with social Facebook use and informational Internet use.,Inference,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P08-S01,SNS and Personality,Facebook users reported higher levels of ___ than non-users.,Extraversion,Neuroticism,loneliness,anonymity,1,Ryan and Xenos found higher Extraversion in Facebook users.,Summary Cloze,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P08-S02,SNS and Personality,One study found the link between Extraversion and social Internet use only for ___.,females,males,students,non-users,1,The passage says the correlation applied only for females.,Summary Cloze,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P08-S03,SNS and Personality,Extraversion was also associated with ___ use of the Internet in the whole sample.,informational,emotional,financial,anonymous,1,The same authors reported a whole sample correlation with informational use.,Summary Cloze,"[8] Ryan and Xenos (2011) found significantly higher levels of self-reported Extraversion in Facebook users compared to non-users and also found Extraversion to be correlated with the social use of Facebook. Amichai-Hamburger and Ben-Artzi (2000) also found a significant correlation between social use of the Internet and Extraversion, but only for females. The same authors also reported a whole sample correlation between Extraversion and informational use of the Internet."
SNS-P09-V01,SNS and Personality,"As used in the passage, the word “novelty” most nearly means:",originality or newness,familiarity,difficulty,tradition,1,Novelty refers to something new or unfamiliar.,Vocabulary,"[9] Individuals who demonstrate high Openness-to-experience (Openness) have broad interests and seek novelty, with low ratings linked to preferring familiarity and convention. Openness has been shown to correlate with the use of instant messaging and SNS and with the use of a wider variety of Facebook features. Further, Openness has been shown to be related to information seeking."
SNS-P09-F01,SNS and Personality,"According to the passage, what are individuals high in Openness likely to have?",Broad interests and a desire for new experiences,Narrow interests and a preference for routine,Low interest in social networking services,A strong preference for familiar activities only,1,The paragraph defines Openness as broad interests and seeking novelty.,Factual,"[9] Individuals who demonstrate high Openness-to-experience (Openness) have broad interests and seek novelty, with low ratings linked to preferring familiarity and convention. Openness has been shown to correlate with the use of instant messaging and SNS and with the use of a wider variety of Facebook features. Further, Openness has been shown to be related to information seeking."
SNS-P09-I01,SNS and Personality,What can be reasonably inferred about people high in Openness?,They may be more willing to explore different online tools and features,They avoid online communication because it is unfamiliar,They use SNS only to maintain existing friendships,They are less likely to search for information online,1,Openness is linked to varied Facebook features and information seeking.,Inference,"[9] Individuals who demonstrate high Openness-to-experience (Openness) have broad interests and seek novelty, with low ratings linked to preferring familiarity and convention. Openness has been shown to correlate with the use of instant messaging and SNS and with the use of a wider variety of Facebook features. Further, Openness has been shown to be related to information seeking."
SNS-P09-S01,SNS and Personality,People high in Openness tend to seek ___ experiences.,novel,familiar,conventional,limited,1,Openness is associated with seeking novelty.,Summary Cloze,"[9] Individuals who demonstrate high Openness-to-experience (Openness) have broad interests and seek novelty, with low ratings linked to preferring familiarity and convention. Openness has been shown to correlate with the use of instant messaging and SNS and with the use of a wider variety of Facebook features. Further, Openness has been shown to be related to information seeking."
